Region,School,Snumber,BEL12,MAT12,informatics12,IT12,Code,ClassName,TypeClass,Profil,FormulaRaw,CodeProfession,StudyForm,FirstLang,SecondLang,Formula_modified,YourScore,MinLY,MaxLY
ОВЧА КУПЕЛ,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ""Д-Р СТАМЕН ГРИГОРОВ""",2217426,2.36,0,0,0,4731,Помощник - възпитател в отглеждането и възпитанието на деца,професионална,Помощник - възпитател в отглеждането и възпитанието на деца,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * БЗО),7620301,дневна,Английски език,без инт. и без разширено,(2 * BELNVO + 2 * MATNVO) + (1 * Bul + 1 * Biology),296,0,0
ПОДУЯНЕ,"24 Средно училище ""П.К.Яворов""",2219024,2.56,0,0,0,2439,Предприемачески,профилирана,Предприемачески,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * ЧЕз),80171,дневна,Английски език,без инт. и без разширено,(2 * BELNVO + 2 * MATNVO) + (1 * Geo + 1 * English),307,30,217
ПОДУЯНЕ,"44. Средно училище ""Неофит Бозвели""",2219044,4.54,0,0,3.32,1536,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",профилирана,Софтуерни и хардуерни науки,(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ЧЕз),80111,дневна,Английски език,интензивно,(2 * BELNVO + 2 * MATNVO) + (1 * IT + 1 * English),296,310,359
ПОДУЯНЕ,"44. Средно училище ""Неофит Бозвели""",2219044,4.54,0,0,3.32,1538,"Софтуерни и хардуерни науки - НЕ интензивно, АЕ",профилирана,Софтуерни и хардуерни науки,(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ЧЕз),80111,дневна,Немски език,интензивно,(2 * BELNVO + 2 * MATNVO) + (1 * IT + 1 * English),296,276,353
ПОДУЯНЕ,"95 СУ ""Проф. Иван Шишманов""",2219095,3.82,0,0,0,2359,Бизнес администрация - РЕ интензивно; АЕ,професионална,Бизнес - администрация,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз),3460101,дневна,Руски език,интензивно,(3 * BELNVO + 1 * MATNVO) + (1 * Bul + 1 * English),327,150,309.5
ПОДУЯНЕ,"95 СУ ""Проф. Иван Шишманов""",2219095,3.82,0,0,0,2459,Природни науки - АЕ интензивно; РЕ,профилирана,Природни науки,(1 * БЕЛ + 3 * МАТ) + (1 * БЗО + 1 * ХООС),80131,дневна,Английски език,интензивно,(1 * BELNVO + 3 * MATNVO) + (1 * Biology + 1 * Chemistry),276,126,279.25
ПОДУЯНЕ,"95 СУ ""Проф. Иван Шишманов""",2219095,3.82,0,0,0,3354,Предприемачески - АЕ интензивно; РЕ,профилирана,Предприемачески,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * КМИТ),80171,дневна,Английски език,интензивно,(2 * BELNVO + 2 * MATNVO) + (1 * Geo + 1 * IT),307,152.5,329
ПОДУЯНЕ,"95 СУ ""Проф. Иван Шишманов""",2219095,3.82,0,0,0,4818,"Екскурзоводско обслужване - АЕ интензивно, ИЕ",професионална,Екскурзоводско обслужване,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ГИ),8120302,дневна,Английски език,интензивно,(3 * BELNVO + 1 * MATNVO) + (1 * Bul + 1 * Geo),338,,
ПОДУЯНЕ,"130. средно училище ""Стефан Караджа""",2219130,3.4,0,0,0,3506,"Икономическо развитие - АЕ, НЕ",профилирана,Икономическо развитие,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * ЧЕз),80101,дневна,Английски език,разширено,(2 * BELNVO + 2 * MATNVO) + (1 * Geo + 1 * English),307,30,223
ПОДУЯНЕ,"130. средно училище ""Стефан Караджа""",2219130,3.4,0,0,0,4713,Помощник-възпитател,професионална,Помощник - възпитател в отглеждането и възпитанието на деца,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * БЗО),7620301,дневна,Английски език,без инт. и без разширено,(2 * BELNVO + 2 * MATNVO) + (1 * Bul + 1 * Biology),296,96,96
СЕРДИКА,"14. средно училище ""Проф. д-р Асен Златаров""",2220014,4.36,0,0,0,1312,"Обществени науки - АЕ, РЕ",профилирана,Обществени науки,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ГИ),80091,дневна,Английски език,разширено,(3 * BELNVO + 1 * MATNVO) + (1 * Bul + 1 * Geo),338,232,342
